Louisiana State,"[('HOU', 'Randy Livingston', 1996, 0.24635695204941752), ('SAC', 'Jabari Smith', 2000, 0.2225919864814793), ('VAN', 'Stromile Swift', 2000, 0.2401826181874097), ('NOK', 'Brandon Bass', 2005, 0.1866388234767106), ('CHI', 'Tyrus Thomas', 2006, 0.2914664084117684), ('BOS', 'Glen Davis', 2007, 0.2636408511464775), ('GSW', 'Anthony Randolph', 2008, 0.32470230858067256), ('NOH', 'Marcus Thornton', 2009, 0.3697036738639134), ('MIL', ""Johnny O'Bryant III"", 2014, 0.19970445753264734), ('MEM', 'Jarell Martin', 2015, 0.2589159890494422), ('BOS', 'Jordan Mickey', 2015, 0.19881273965115087), ('BOS', 'Tremont Waters', 2019, 0.2526472203789482), ('ATL', 'Skylar Mays', 2020, 0.2330007353869589), ('BKN', 'Cam Thomas', 2021, 0.29012170243304586), ('HOU', 'Tari Eason', 2022, 0.33315087445318364)]"
Mississippi State,"[('IND', 'Erick Dampier', 1996, 0.26968862330890225), ('MEM', 'Lawrence Roberts', 2005, 0.1783695904660951), ('PHI', 'Arnett Moultrie', 2012, 0.22685918238096212), ('SAS', 'Quinndary Weatherspoon', 2019, 0.13476072457546062), ('BKN', 'Reggie Perry', 2020, 0.22493274289821322), ('SAC', 'Robert Woodard II', 2020, 0.20569294704163785)]"
Georgetown,"[('DET', 'Jerome Williams', 1996, 0.18688345441659202), ('HOU', 'Othella Harrington', 1996, 0.24542493131044255), ('PHI', 'Allen Iverson', 1996, 0.5767287084871425), ('WAS', 'Jahidi White', 1998, 0.20432048949558534), ('POR', 'Ruben Boumtje-Boumtje', 2001, 0.15241623245485086), ('NYK', 'Michael Sweetney', 2003, 0.260963420729002), ('SEA', 'Jeff Green', 2007, 0.330873482975846), ('IND', 'Roy Hibbert', 2008, 0.29271783209653224), ('DET', 'DaJuan Summers', 2009, 0.19330570919802467), ('DET', 'Greg Monroe', 2010, 0.35386317169319553), ('WAS', 'Otto Porter Jr.', 2013, 0.170490216606448)]"
Syracuse,"[('NYK', 'John Wallace', 1996, 0.2603762805376708), ('MIL', 'Jason Hart', 2000, 0.2448908982937618), ('PHI', 'Damone Brown', 2001, 0.18631796720748342), ('DEN', 'Carmelo Anthony', 2003, 0.4931846080860671), ('MEM', 'Hakim Warrick', 2005, 0.23937330002470417), ('CHI', 'Demetris Nichols', 2007, 0.18430033337785537), ('SAC', 'Donte Greene', 2008, 0.19996941266994284), ('MIN', 'Jonny Flynn', 2009, 0.4018685100728021), ('MIN', 'Wesley Johnson', 2010, 0.29288966641472175), ('NYK', 'Andy Rautins', 2010, 0.2248795918365529), ('CLE', 'Dion Waiters', 2012, 0.387002590357498), ('BOS', 'Fab Melo', 2012, 0.13543043950207748), ('BKN', 'Kris Joseph', 2012, 0.12957436106928844), ('PHI', 'Michael Carter-Williams', 2013, 0.5166513919560319), ('MIL', 'Tyler Ennis', 2014, 0.23717885324934365), ('PHI', 'Jerami Grant', 2014, 0.254681235602431), ('BKN', 'Chris McCullough', 2015, 0.22275454433737377), ('IND', 'Rakeem Christmas', 2015, 0.2649971488205216), ('DET', 'Michael Gbinije', 2016, 0.1071431747868266), ('SAC', 'Malachi Richardson', 2016, 0.21453739390545082), ('DEN', 'Tyler Lydon', 2017, 0.0), ('UTA', 'Elijah Hughes', 2020, 0.2052093993768135)]"
North Carolina,"[('DEN', 'Jeff McInnis', 1996, 0.27693927544247365), ('GSW', 'Antawn Jamison', 1998, 0.34060663392372553), ('TOR', 'Vince Carter', 1998, 0.46401402916764584), ('ATL', 'Shammond Williams', 1998, 0.23169885977513063), ('BOS', 'Joseph Forte', 2001, 0.14849568012804384), ('WAS', 'Brendan Haywood', 2001, 0.2576105470620779), ('CHA', 'Sean May', 2005, 0.32585150314328354), ('ATL', 'Marvin Williams', 2005, 0.2966209310430867), ('CHA', 'Raymond Felton', 2005, 0.4108398825811168), ('MIN', 'Rashad McCants', 2005, 0.2811327057970614), ('MIL', 'David Noel', 2006, 0.19632996135482675), ('GSW', 'Brandan Wright', 2007, 0.22910177089277428), ('IND', 'Tyler Hansbrough', 2009, 0.32445014320844606), ('DEN', 'Ty Lawson', 2009, 0.33158633081464894), ('CLE', 'Danny Green', 2009, 0.18769302219979303), ('MIN', 'Wayne Ellington', 2009, 0.2525439524481738), ('TOR', 'Ed Davis', 2010, 0.31483212084932094), ('CLE', 'Tyler Zeller', 2012, 0.30420789997467174), ('MIL', 'John Henson', 2012, 0.2909577920764932), ('GSW', 'Harrison Barnes', 2012, 0.30992714875931254), ('PHX', 'Kendall Marshall', 2012, 0.22366359742261888), ('LAC', 'Reggie Bullock', 2013, 0.18141660155689077), ('CHA', 'PJ Hairston', 2014, 0.231605839424756), ('LAC', 'Brice Johnson', 2016, 0.3593127514324798), ('SAC', 'Justin Jackson', 2017, 0.24998645889869145), ('UTA', 'Tony Bradley', 2017, 0.1456808983940005), ('PHX', 'Cameron Johnson', 2019, 0.29189353000739016), ('CHI', 'Coby White', 2019, 0.37679966664199277), ('POR', 'Nassir Little', 2019, 0.2030157916236235), ('ORL', 'Cole Anthony', 2020, 0.41802476351569684), ('BKN', ""Day'Ron Sharpe"", 2021, 0.3232490681976677)]"
Michigan State,"[('SAS', 'Jamie Feick', 1996, 0.2388256609846686), ('DET', 'Mateen Cleaves', 2000, 0.27589816624270996), ('TOR', 'Morris Peterson', 2000, 0.3095426068332349), ('POR', 'Zach Randolph', 2001, 0.23312070522975517), ('GSW', 'Jason Richardson', 2001, 0.39013681432145403), ('LAC', 'Paul Davis', 2006, 0.1747537214826407), ('DAL', 'Maurice Ager', 2006, 0.1850206862585734), ('CLE', 'Shannon Brown', 2006, 0.20800602099208135), ('GSW', 'Draymond Green', 2012, 0.2056084186163163), ('MIN', 'Adreian Payne', 2014, 0.28181784822193184), ('DEN', 'Gary Harris', 2014, 0.18224253245280794), ('LAC', 'Branden Dawson', 2015, 0.12695012761867572), ('CHI', 'Denzel Valentine', 2016, 0.23857884745136848), ('MEM', 'Deyonta Davis', 2016, 0.1708572733193323), ('MEM', 'Jaren Jackson Jr.', 2018, 0.37733393470636284), ('CHA', 'Miles Bridges', 2018, 0.28213188800633815), ('WAS', 'Cassius Winston', 2020, 0.1971642218009003), ('MEM', 'Xavier Tillman', 2020, 0.29651558080815504), ('LAL', 'Max Christie', 2022, 0.18874010960542145)]"
Texas Tech,"[('DAL', 'Jason Sasser', 1996, 0.1754371881838934), ('DEN', 'Tony Battie', 1997, 0.314541755397943), ('CHI', 'Cory Carr', 1998, 0.22625822068055298), ('MEM', 'Andre Emmett', 2004, 0.1524492018572255), ('PHI', 'Zhaire Smith', 2018, 0.2866396703085823), ('MIN', 'Jarrett Culver', 2019, 0.3002754155509017), ('SAC', ""Jahmi'us Ramsey"", 2020, 0.20607501466812908)]"
Western Kentucky,"[('VAN', 'Chris Robinson', 1996, 0.2310995681477245), ('ORL', 'Courtney Lee', 2008, 0.291786649788013), ('UTA', 'Jeremy Evans', 2010, 0.2331967416927324), ('PHI', 'Charles Bassey', 2021, 0.23362352704148426)]"
Indiana,"[('ORL', 'Brian Evans', 1996, 0.17162396427315466), ('MIN', 'Andrae Patterson', 1998, 0.22541153511682777), ('CHI', 'A.J. Guyton', 2000, 0.24605744184294517), ('CHH', 'Kirk Haston', 2001, 0.19090425234167693), ('WAS', 'Jared Jeffries', 2002, 0.2511825072744767), ('MIN', 'Bracey Wright', 2005, 0.2949243499645056), ('OKC', 'DJ White', 2008, 0.3201149576419326), ('LAC', 'Eric Gordon', 2008, 0.3888297287957809), ('CHA', 'Cody Zeller', 2013, 0.2808508739871056), ('ORL', 'Victor Oladipo', 2013, 0.4222515218832819), ('CHA', 'Noah Vonleh', 2014, 0.2222804615764219), ('TOR', 'OG Anunoby', 2017, 0.26150043847957966), ('LAL', 'Thomas Bryant', 2017, 0.1721358275651336), ('BOS', 'Romeo Langford', 2019, 0.18421490545428373)]"
Arkansas-Little Rock,"[('LAL', 'Derek Fisher', 1996, 0.2448549182186109)]"
