Louisiana State,"[('HOU', 'Randy Livingston', 1996), ('SAC', 'Jabari Smith', 2000), ('VAN', 'Stromile Swift', 2000), ('NOK', 'Brandon Bass', 2005), ('CHI', 'Tyrus Thomas', 2006), ('BOS', 'Glen Davis', 2007), ('GSW', 'Anthony Randolph', 2008), ('NOH', 'Marcus Thornton', 2009), ('MIL', ""Johnny O'Bryant III"", 2014), ('MEM', 'Jarell Martin', 2015), ('BOS', 'Jordan Mickey', 2015), ('BOS', 'Tremont Waters', 2019), ('ATL', 'Skylar Mays', 2020), ('BKN', 'Cam Thomas', 2021), ('HOU', 'Tari Eason', 2022)]"
Mississippi State,"[('IND', 'Erick Dampier', 1996), ('MEM', 'Lawrence Roberts', 2005), ('PHI', 'Arnett Moultrie', 2012), ('SAS', 'Quinndary Weatherspoon', 2019), ('BKN', 'Reggie Perry', 2020), ('SAC', 'Robert Woodard II', 2020)]"
Georgetown,"[('DET', 'Jerome Williams', 1996), ('HOU', 'Othella Harrington', 1996), ('PHI', 'Allen Iverson', 1996), ('WAS', 'Jahidi White', 1998), ('POR', 'Ruben Boumtje-Boumtje', 2001), ('NYK', 'Michael Sweetney', 2003), ('SEA', 'Jeff Green', 2007), ('IND', 'Roy Hibbert', 2008), ('DET', 'DaJuan Summers', 2009), ('DET', 'Greg Monroe', 2010), ('WAS', 'Otto Porter Jr.', 2013)]"
Syracuse,"[('NYK', 'John Wallace', 1996), ('MIL', 'Jason Hart', 2000), ('PHI', 'Damone Brown', 2001), ('DEN', 'Carmelo Anthony', 2003), ('MEM', 'Hakim Warrick', 2005), ('CHI', 'Demetris Nichols', 2007), ('SAC', 'Donte Greene', 2008), ('MIN', 'Jonny Flynn', 2009), ('MIN', 'Wesley Johnson', 2010), ('NYK', 'Andy Rautins', 2010), ('CLE', 'Dion Waiters', 2012), ('BOS', 'Fab Melo', 2012), ('BKN', 'Kris Joseph', 2012), ('PHI', 'Michael Carter-Williams', 2013), ('MIL', 'Tyler Ennis', 2014), ('PHI', 'Jerami Grant', 2014), ('BKN', 'Chris McCullough', 2015), ('IND', 'Rakeem Christmas', 2015), ('DET', 'Michael Gbinije', 2016), ('SAC', 'Malachi Richardson', 2016), ('DEN', 'Tyler Lydon', 2017), ('UTA', 'Elijah Hughes', 2020)]"
nan,"[('POR', ""Jermaine O'Neal"", 1996), ('LAL', 'Kobe Bryant', 1996), ('DAL', 'Martin Muursepp', 1996), ('PHX', 'Marko Milic', 1997), ('TOR', 'Tracy McGrady', 1997), ('DAL', 'Chris Anstey', 1997), ('DAL', 'Dirk Nowitzki', 1998), ('IND', 'Al Harrington', 1998), ('DAL', 'Bruno Sundov', 1998), ('MIN', 'Rasho Nesterovic', 1998), ('SEA', 'Rashard Lewis', 1998), ('SEA', 'Vladimir Stepania', 1998), ('DET', 'Korleone Young', 1998), ('IND', 'Jonathan Bender', 1999), ('SAC', 'Hedo Turkoglu', 2000), ('PHX', 'Jake Tsakalidis', 2000), ('SEA', 'Olumide Oyedeji', 2000), ('CHI', 'Dalibor Bagaric', 2000), ('UTA', 'DeShawn Stevenson', 2000), ('LAC', 'Darius Miles', 2000), ('NJN', 'Soumaila Samake', 2000), ('MEM', 'Pau Gasol', 2001), ('CHI', 'Tyson Chandler', 2001), ('SAS', 'Tony Parker', 2001), ('SEA', 'Vladimir Radmanovic', 2001), ('CHI', 'Eddy Curry', 2001), ('WAS', 'Kwame Brown', 2001), ('CLE', 'DeSagana Diop', 2001), ('MEM', 'Antonis Fotsis', 2001), ('DEN', 'Nene', 2002), ('DEN', 'Nikoloz Tskitishvili', 2002), ('HOU', 'Yao Ming', 2002), ('PHX', ""Amar'e Stoudemire"", 2002), ('HOU', 'Bostjan Nachbar', 2002), ('GSW', 'Jiri Welsch', 2002), ('DET', 'Darko Milicic', 2003), ('ATL', 'Boris Diaw', 2003), ('UTA', 'Sasha Pavlovic', 2003), ('POR', 'Slavko Vranes', 2003), ('PHX', 'Zarko Cabarkapa', 2003), ('ORL', 'Zaza Pachulia', 2003), ('NJN', 'Zoran Planinic', 2003), ('POR', 'Travis Outlaw', 2003), ('PHX', 'Maciej Lampe', 2003), ('BOS', 'Kendrick Perkins', 2003), ('CLE', 'LeBron James', 2003), ('PHX', 'Leandro Barbosa', 2003), ('MIN', 'Ndudi Ebi', 2003), ('GSW', 'Mickael Pietrus', 2003), ('DAL', 'Pavel Podkolzin', 2004), ('WAS', 'Peter John Ramos', 2004), ('POR', 'Viktor Khryapa', 2004), ('SEA', 'Robert Swift', 2004), ('LAC', 'Shaun Livingston', 2004), ('POR', 'Sebastian Telfair', 2004), ('LAL', 'Sasha Vujacic', 2004), ('GSW', 'Andris Biedrins', 2004), ('BOS', 'Al Jefferson', 2004), ('CLE', 'Anderson Varejao', 2004), ('SAS', 'Beno Udrih', 2004), ('NOH', 'JR Smith', 2004), ('ATL', 'Josh Smith', 2004), ('ORL', 'Dwight Howard', 2004), ('MIA', 'Dorell Wright', 2004), ('LAC', 'Yaroslav Korolev', 2005), ('SEA', 'Johan Petro', 2005), ('PHI', 'Lou Williams', 2005), ('CLE', 'Martynas Andriuskevicius', 2005), ('POR', 'Martell Webster', 2005), ('GSW', 'Monta Ellis', 2005), ('UTA', 'CJ Miles', 2005), ('DET', 'Amir Johnson', 2005), ('WAS', 'Andray Blatche', 2005), ('LAL', 'Andrew Bynum', 2005), ('BOS', 'Gerald Green', 2005), ('MIL', 'Damir Markota', 2006), ('TOR', 'Andrea Bargnani', 2006), ('SEA', 'Mouhamed Sene', 2006), ('CHI', 'Thabo Sefolosha', 2006), ('POR', 'Sergio Rodriguez', 2006), ('NOK', 'Marcus Vinicius', 2006), ('MIL', 'Yi Jianlian', 2007), ('UTA', 'Kyrylo Fesenko', 2007), ('GSW', 'Marco Belinelli', 2007), ('NYK', 'Danilo Gallinari', 2008), ('PHX', 'Goran Dragic', 2008), ('POR', 'Nicolas Batum', 2008), ('CHA', 'Alexis Ajinca', 2008), ('DAL', 'Rodrigue Beaubois', 2009), ('MIL', 'Brandon Jennings', 2009), ('SAC', 'Omri Casspi', 2009), ('DET', 'Jonas Jerebko', 2009), ('ATL', 'Pape Sy', 2010), ('GSW', 'Jeremy Tyler', 2011), ('WAS', 'Jan Vesely', 2011), ('CHA', 'Bismack Biyombo', 2011), ('BKN', 'Tornike Shengelia', 2012), ('DEN', 'Evan Fournier', 2012), ('MIL', 'Giannis Antetokounmpo', 2013), ('ATL', 'Dennis Schroder', 2013), ('UTA', 'Rudy Gobert', 2013), ('CLE', 'Sergey Karasev', 2013), ('GSW', 'Nemanja Nedovic', 2013), ('TOR', 'Bruno Caboclo', 2014), ('UTA', 'Dante Exum', 2014), ('HOU', 'Clint Capela', 2014), ('DEN', 'Jusuf Nurkic', 2014), ('DEN', 'Emmanuel Mudiay', 2015), ('NYK', 'Kristaps Porzingis', 2015), ('ORL', 'Mario Hezonja', 2015), ('CLE', 'Kay Felder', 2016), ('DEN', 'Juancho Hernangomez', 2016), ('PHI', 'Timothe Luwawu-Cabarrot', 2016), ('MIL', 'Thon Maker', 2016), ('CHI', 'Paul Zipser', 2016), ('PHX', 'Dragan Bender', 2016), ('LAL', 'Ivica Zubac', 2016), ('SAC', 'Georgios Papagiannis', 2016), ('OKC', 'Terrance Ferguson', 2017), ('NYK', 'Frank Ntilikina', 2017), ('BKN', 'Dzanan Musa', 2018), ('PHX', 'Elie Okobo', 2018), ('LAL', 'Isaac Bonga', 2018), ('POR', 'Anfernee Simons', 2018), ('BKN', 'Rodions Kurucs', 2018), ('NYK', 'Mitchell Robinson', 2018), ('DAL', 'Luka Doncic', 2018), ('IND', 'Goga Bitadze', 2019), ('GSW', 'Alen Smailagic', 2019), ('OKC', 'Darius Bazley', 2019), ('DET', 'Sekou Doumbouya', 2019), ('SAS', 'Luka Samanic', 2019), ('OKC', 'Aleksej Pokusevski', 2020), ('WAS', 'Deni Avdija', 2020), ('OKC', 'Theo Maledon', 2020), ('ORL', 'R.J. Hampton', 2020), ('HOU', 'Kenyon Martin Jr.', 2020), ('DET', 'Killian Hayes', 2020), ('CHA', 'LaMelo Ball', 2020), ('HOU', 'Usman Garuba', 2021), ('OKC', 'Georgios Kalaitzakis', 2021), ('HOU', 'Jalen Green', 2021), ('WAS', 'Isaiah Todd', 2021), ('HOU', 'Alperen Sengun', 2021), ('GSW', 'Jonathan Kuminga', 2021), ('OKC', 'Josh Giddey', 2021), ('OKC', 'Ousmane Dieng', 2022), ('MIA', 'Nikola Jovic', 2022), ('NOP', 'Dyson Daniels', 2022), ('MIL', 'MarJon Beauchamp', 2022), ('DAL', 'Jaden Hardy', 2022)]"
North Carolina,"[('DEN', 'Jeff McInnis', 1996), ('GSW', 'Antawn Jamison', 1998), ('TOR', 'Vince Carter', 1998), ('ATL', 'Shammond Williams', 1998), ('BOS', 'Joseph Forte', 2001), ('WAS', 'Brendan Haywood', 2001), ('CHA', 'Sean May', 2005), ('ATL', 'Marvin Williams', 2005), ('CHA', 'Raymond Felton', 2005), ('MIN', 'Rashad McCants', 2005), ('MIL', 'David Noel', 2006), ('GSW', 'Brandan Wright', 2007), ('IND', 'Tyler Hansbrough', 2009), ('DEN', 'Ty Lawson', 2009), ('CLE', 'Danny Green', 2009), ('MIN', 'Wayne Ellington', 2009), ('TOR', 'Ed Davis', 2010), ('CLE', 'Tyler Zeller', 2012), ('MIL', 'John Henson', 2012), ('GSW', 'Harrison Barnes', 2012), ('PHX', 'Kendall Marshall', 2012), ('LAC', 'Reggie Bullock', 2013), ('CHA', 'PJ Hairston', 2014), ('LAC', 'Brice Johnson', 2016), ('SAC', 'Justin Jackson', 2017), ('UTA', 'Tony Bradley', 2017), ('PHX', 'Cameron Johnson', 2019), ('CHI', 'Coby White', 2019), ('POR', 'Nassir Little', 2019), ('ORL', 'Cole Anthony', 2020), ('BKN', ""Day'Ron Sharpe"", 2021)]"
Michigan State,"[('SAS', 'Jamie Feick', 1996), ('DET', 'Mateen Cleaves', 2000), ('TOR', 'Morris Peterson', 2000), ('POR', 'Zach Randolph', 2001), ('GSW', 'Jason Richardson', 2001), ('LAC', 'Paul Davis', 2006), ('DAL', 'Maurice Ager', 2006), ('CLE', 'Shannon Brown', 2006), ('GSW', 'Draymond Green', 2012), ('MIN', 'Adreian Payne', 2014), ('DEN', 'Gary Harris', 2014), ('LAC', 'Branden Dawson', 2015), ('CHI', 'Denzel Valentine', 2016), ('MEM', 'Deyonta Davis', 2016), ('MEM', 'Jaren Jackson Jr.', 2018), ('CHA', 'Miles Bridges', 2018), ('WAS', 'Cassius Winston', 2020), ('MEM', 'Xavier Tillman', 2020), ('LAL', 'Max Christie', 2022)]"
Texas Tech,"[('DAL', 'Jason Sasser', 1996), ('DEN', 'Tony Battie', 1997), ('CHI', 'Cory Carr', 1998), ('MEM', 'Andre Emmett', 2004), ('PHI', 'Zhaire Smith', 2018), ('MIN', 'Jarrett Culver', 2019), ('SAC', ""Jahmi'us Ramsey"", 2020)]"
Western Kentucky,"[('VAN', 'Chris Robinson', 1996), ('ORL', 'Courtney Lee', 2008), ('UTA', 'Jeremy Evans', 2010), ('PHI', 'Charles Bassey', 2021)]"
Indiana,"[('ORL', 'Brian Evans', 1996), ('MIN', 'Andrae Patterson', 1998), ('CHI', 'A.J. Guyton', 2000), ('CHH', 'Kirk Haston', 2001), ('WAS', 'Jared Jeffries', 2002), ('MIN', 'Bracey Wright', 2005), ('OKC', 'DJ White', 2008), ('LAC', 'Eric Gordon', 2008), ('CHA', 'Cody Zeller', 2013), ('ORL', 'Victor Oladipo', 2013), ('CHA', 'Noah Vonleh', 2014), ('TOR', 'OG Anunoby', 2017), ('LAL', 'Thomas Bryant', 2017), ('BOS', 'Romeo Langford', 2019)]"
