,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,composite_performance_score
0,0,Randy Livingston,HOU,22.0,193.04,94.800728,Louisiana State,USA,1996,2,42,64,3.9,1.5,2.4,0.3,0.042,0.071,0.1689999999999999,0.487,0.248,1996-97,1996,0.24635695204941752
38,38,Erick Dampier,IND,21.0,210.82,120.20188,Mississippi State,USA,1996,1,10,72,5.1,4.1,0.6,0.0,0.107,0.216,0.218,0.451,0.074,1996-97,1996,0.26968862330890225
50,50,Jerome Williams,DET,24.0,205.74,93.439952,Georgetown,USA,1996,1,26,33,1.5,1.5,0.2,3.0,0.144,0.182,0.181,0.419,0.071,1996-97,1996,0.18688345441659202
67,67,John Wallace,NYK,23.0,205.74,102.0582,Syracuse,USA,1996,1,18,68,4.8,2.3,0.5,2.7,0.08,0.148,0.204,0.5710000000000001,0.081,1996-97,1996,0.2603762805376708
73,73,Jeff McInnis,DEN,22.0,193.04,86.18248,North Carolina,USA,1996,2,37,13,5.0,0.5,1.4,0.0,0.021,0.04,0.259,0.609,0.327,1996-97,1996,0.27693927544247365
86,86,Jamie Feick,SAS,22.0,203.2,115.66596,Michigan State,USA,1996,2,48,41,3.7,5.2,0.6,0.0,0.133,0.253,0.15,0.405,0.065,1996-97,1996,0.2388256609846686
91,91,Jason Sasser,DAL,23.0,200.66,102.0582,Texas Tech,USA,1996,2,41,8,2.4,1.0,0.3,0.0,0.018,0.14,0.172,0.413,0.067,1996-97,1996,0.1754371881838934
103,103,Chris Robinson,VAN,23.0,195.58,90.7184,Western Kentucky,USA,1996,2,51,41,4.6,1.7,1.6,0.0,0.039,0.088,0.155,0.486,0.156,1996-97,1996,0.2310995681477245
123,123,Brian Evans,ORL,23.0,203.2,99.79024,Indiana,USA,1996,1,27,14,1.4,0.6,0.5,0.0,0.017,0.121,0.168,0.455,0.1939999999999999,1996-97,1996,0.17162396427315466
190,190,Derek Fisher,LAL,22.0,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,80,3.9,1.2,1.5,5.1,0.031,0.087,0.186,0.491,0.223,1996-97,1996,0.2448549182186109
204,204,Shandon Anderson,UTA,23.0,198.12,94.347136,Georgia,USA,1996,2,54,65,5.9,2.8,0.8,2.5,0.065,0.139,0.193,0.534,0.074,1996-97,1996,0.2701600122941665
208,208,Shareef Abdur-Rahim,VAN,20.0,205.74,104.32616,California,USA,1996,1,3,80,18.7,6.9,2.2,0.0,0.089,0.142,0.275,0.518,0.12,1996-97,1996,0.47240330564786265
221,221,Samaki Walker,DAL,21.0,205.74,108.86208,Louisville,USA,1996,1,9,43,4.9,3.4,0.4,0.0,0.094,0.198,0.201,0.485,0.05,1996-97,1996,0.25249237905563193
236,236,Roy Rogers,VAN,23.0,208.28,106.59412,Alabama,USA,1996,1,22,82,6.6,4.7,0.6,0.0,0.088,0.155,0.154,0.518,0.042,1996-97,1996,0.2718045330621471
243,243,Stephon Marbury,MIN,20.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,67,15.8,2.7,7.8,0.0,0.0279999999999999,0.066,0.244,0.519,0.373,1996-97,1996,0.492336921698785
245,245,Steve Hamer,BOS,23.0,213.36,111.13004,Tennessee,USA,1996,2,38,35,2.2,1.7,0.2,0.0,0.065,0.181,0.126,0.545,0.037,1996-97,1996,0.1827826749669238
246,246,Steve Nash,PHX,23.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,65,3.3,1.0,2.1,0.0,0.026,0.083,0.17,0.539,0.301,1996-97,1996,0.23684468929667932
251,251,Walter McCarty,NYK,23.0,208.28,104.32616,Kentucky,USA,1996,1,19,35,1.8,0.7,0.4,3.2,0.0559999999999999,0.08,0.217,0.431,0.1159999999999999,1996-97,1996,0.19966246590851325
255,255,Vitaly Potapenko,CLE,22.0,208.28,127.00576,Wright State,Ukraine,1996,1,12,80,5.8,2.7,0.5,0.0,0.106,0.119,0.2339999999999999,0.486,0.064,1996-97,1996,0.2653749274236526
263,263,Travis Knight,LAL,22.0,213.36,106.59412,Connecticut,USA,1996,1,29,71,4.8,4.5,0.5,6.2,0.127,0.182,0.142,0.536,0.052,1996-97,1996,0.2685206598346252
285,285,Todd Fuller,GSW,22.0,210.82,115.66596,North Carolina State,USA,1996,1,11,75,4.0,3.3,0.3,0.0,0.127,0.171,0.166,0.48,0.04,1996-97,1996,0.22692188444971953
290,290,Tony Delk,CHH,23.0,187.96,85.728888,Kentucky,USA,1996,1,16,61,5.4,1.6,1.6,0.9,0.044,0.09,0.182,0.596,0.187,1996-97,1996,0.266583042186003
301,301,Lorenzen Wright,LAC,21.0,210.82,108.86208,Memphis,USA,1996,1,7,77,7.3,6.1,0.6,0.0,0.12,0.168,0.146,0.503,0.039,1996-97,1996,0.2905996990298057
